 Val loss, Val accuracy, Val real pre, Val real rec, Val real F1-Score, Val fake pre, Val fake rec, Val fake F1-Score, Val micro pre, Val micro rec, Val micro F1-Score, Val macro pre, Val macro rec, Val macro F1-Score
0.383108,0.818906,0.704948,0.912196,0.795292,0.932413,0.760348,0.837635,0.818906,0.818906,0.818906,0.818681,0.836272,0.816464
0.281615,0.873786,0.799471,0.89794,0.845849,0.930569,0.858625,0.89315,0.873786,0.873786,0.873786,0.86502,0.878282,0.8695
0.280802,0.875056,0.879692,0.949222,0.913135,0.966463,0.918514,0.941878,0.875056,0.875056,0.875056,0.923077,0.933868,0.927507
0.284235,0.870555,0.92216,0.923833,0.922996,0.952135,0.951051,0.951593,0.870555,0.870555,0.870555,0.937148,0.937442,0.937294
0.266592,0.876903,0.908518,0.930029,0.919148,0.955416,0.941217,0.948264,0.876903,0.876903,0.876903,0.931967,0.935623,0.933706
0.265422,0.87781,0.884212,0.952496,0.917085,0.968663,0.921708,0.944602,0.87781,0.87781,0.87781,0.926438,0.937102,0.930843
0.251229,0.888628,0.822594,0.906755,0.862627,0.937454,0.877249,0.906353,0.888628,0.888628,0.888628,0.880024,0.892002,0.88449
0.272137,0.872429,0.788293,0.936175,0.855893,0.954589,0.842182,0.894869,0.872429,0.872429,0.872429,0.871441,0.889178,0.875381
0.265515,0.873912,0.919548,0.913757,0.916644,0.946079,0.949818,0.947945,0.873912,0.873912,0.873912,0.932813,0.931788,0.932294
0.259205,0.880646,0.90583,0.909526,0.907674,0.943064,0.940648,0.941854,0.880646,0.880646,0.880646,0.924447,0.925087,0.924764
0.265923,0.874358,0.928378,0.899149,0.91353,0.937922,0.956458,0.9471,0.874358,0.874358,0.874358,0.93315,0.927804,0.930315
0.258473,0.881018,0.893112,0.944537,0.918105,0.96388,0.929043,0.946141,0.881018,0.881018,0.881018,0.928496,0.93679,0.932123
0.248128,0.883503,0.927946,0.897234,0.912332,0.936807,0.956269,0.946438,0.883503,0.883503,0.883503,0.932377,0.926752,0.929385
0.250194,0.923615,0.860012,0.957836,0.906292,0.971499,0.902134,0.935533,0.923615,0.923615,0.923615,0.915755,0.929985,0.920912
0.243944,0.890558,0.878984,0.941817,0.909316,0.961763,0.918609,0.93969,0.890558,0.890558,0.890558,0.920374,0.930213,0.924503
0.23635,0.895543,0.934051,0.896126,0.914696,0.936419,0.960285,0.948202,0.895543,0.895543,0.895543,0.935235,0.928205,0.931449
0.231912,0.900317,0.930492,0.885447,0.907411,0.930215,0.958482,0.944137,0.900317,0.900317,0.900317,0.930354,0.921964,0.925774
0.230343,0.905043,0.881495,0.870838,0.876134,0.919536,0.926514,0.923011,0.905043,0.905043,0.905043,0.900515,0.898676,0.899573
0.229439,0.906377,0.917228,0.912145,0.91468,0.945045,0.948332,0.946686,0.906377,0.906377,0.906377,0.931137,0.930239,0.930683
0.238629,0.900165,0.926597,0.911894,0.919187,0.945241,0.954656,0.949925,0.900165,0.900165,0.900165,0.935919,0.933275,0.934556
0.225116,0.905644,0.865595,0.94635,0.904173,0.964229,0.907763,0.935144,0.905644,0.905644,0.905644,0.914912,0.927057,0.919659
0.224374,0.908328,0.913764,0.913304,0.913534,0.945598,0.945897,0.945748,0.908328,0.908328,0.908328,0.929681,0.929601,0.929641
0.225243,0.90483,0.904411,0.908921,0.906661,0.942651,0.9397,0.941173,0.90483,0.90483,0.90483,0.923531,0.924311,0.923917
0.224941,0.906142,0.938258,0.87653,0.906344,0.925572,0.963794,0.944296,0.906142,0.906142,0.906142,0.931915,0.920162,0.92532
0.22599,0.908355,0.877376,0.946501,0.910629,0.964672,0.916964,0.940213,0.908355,0.908355,0.908355,0.921024,0.931733,0.925421
0.214332,0.91126,0.902375,0.863281,0.882395,0.916454,0.941375,0.928747,0.91126,0.91126,0.91126,0.909414,0.902328,0.905571
0.219568,0.908346,0.914308,0.841167,0.876213,0.905067,0.950514,0.927234,0.908346,0.908346,0.908346,0.909687,0.89584,0.901724
0.214657,0.915883,0.847366,0.953655,0.897374,0.968423,0.892174,0.928736,0.915883,0.915883,0.915883,0.907894,0.922914,0.913055
0.21201,0.915067,0.913324,0.861518,0.886665,0.916064,0.94868,0.932086,0.915067,0.915067,0.915067,0.914694,0.905099,0.909376
0.20342,0.922605,0.907118,0.890484,0.898724,0.932039,0.942767,0.937372,0.922605,0.922605,0.922605,0.919578,0.916625,0.918048
0.19985,0.918311,0.863556,0.936074,0.898354,0.957641,0.907162,0.931718,0.918311,0.918311,0.918311,0.910598,0.921618,0.915036
0.214996,0.916602,0.863539,0.930835,0.895925,0.954352,0.907668,0.930425,0.916602,0.916602,0.916602,0.908945,0.919251,0.913175
0.202876,0.918642,0.869463,0.928417,0.897973,0.95307,0.912506,0.932347,0.918642,0.918642,0.918642,0.911266,0.920461,0.91516
0.18686,0.925052,0.883617,0.927863,0.9052,0.95325,0.923289,0.93803,0.925052,0.925052,0.925052,0.918434,0.925576,0.921615
0.195898,0.927656,0.915409,0.895119,0.90515,0.935069,0.948079,0.941529,0.927656,0.927656,0.927656,0.925239,0.921599,0.92334
0.222011,0.921051,0.860549,0.949071,0.902645,0.965825,0.903462,0.933603,0.921051,0.921051,0.921051,0.913187,0.926267,0.918124
0.205328,0.912153,0.839603,0.954561,0.893399,0.968796,0.885534,0.925296,0.912153,0.912153,0.912153,0.9042,0.920048,0.909348
0.214343,0.92513,0.881553,0.930935,0.905572,0.955068,0.921486,0.937977,0.92513,0.92513,0.92513,0.918311,0.926211,0.921774
0.211207,0.91973,0.934347,0.851695,0.891108,0.911806,0.962435,0.936437,0.91973,0.91973,0.91973,0.923076,0.907065,0.913773
0.190112,0.926645,0.909888,0.898796,0.904308,0.936957,0.944126,0.940528,0.926645,0.926645,0.926645,0.923423,0.921461,0.922418
0.166746,0.930492,0.900005,0.922221,0.910977,0.95041,0.935684,0.942989,0.930492,0.930492,0.930492,0.925207,0.928952,0.926983
0.187407,0.928005,0.882674,0.937988,0.909491,0.959481,0.921739,0.940232,0.928005,0.928005,0.928005,0.921077,0.929864,0.924861
0.177126,0.932959,0.91364,0.912397,0.913018,0.945059,0.945866,0.945462,0.932959,0.932959,0.932959,0.929349,0.929131,0.92924
0.194667,0.935096,0.910044,0.922926,0.916439,0.951187,0.942735,0.946942,0.935096,0.935096,0.935096,0.930615,0.93283,0.931691
0.168177,0.931949,0.900843,0.925394,0.912954,0.952355,0.936063,0.944139,0.931949,0.931949,0.931949,0.926599,0.930729,0.928546
0.177974,0.928083,0.900183,0.914967,0.907515,0.946069,0.936316,0.941167,0.928083,0.928083,0.928083,0.923126,0.925641,0.924341
0.182326,0.930103,0.882694,0.944235,0.912428,0.963394,0.921233,0.941842,0.930103,0.930103,0.930103,0.923044,0.932734,0.927135
0.194831,0.924819,0.871668,0.944033,0.906409,0.962938,0.912759,0.937177,0.924819,0.924819,0.924819,0.917303,0.928396,0.921793
0.18167,0.934028,0.918894,0.909173,0.914008,0.943364,0.949628,0.946486,0.934028,0.934028,0.934028,0.931129,0.929401,0.930247
0.190775,0.924722,0.881653,0.929575,0.90498,0.954233,0.921676,0.937672,0.924722,0.924722,0.924722,0.917943,0.925626,0.921326
0.200925,0.934552,0.915499,0.914715,0.915106,0.946495,0.947004,0.946749,0.934552,0.934552,0.934552,0.930997,0.930859,0.930928
0.180129,0.935115,0.92122,0.909526,0.915336,0.943658,0.951178,0.947403,0.935115,0.935115,0.935115,0.932439,0.930352,0.93137
0.196842,0.934688,0.93661,0.890937,0.913203,0.933575,0.96215,0.947647,0.934688,0.934688,0.934688,0.935092,0.926544,0.930425
0.18856,0.924314,0.873951,0.939197,0.9054,0.959958,0.914972,0.936925,0.924314,0.924314,0.924314,0.916954,0.927085,0.921163
0.192095,0.91499,0.856157,0.936981,0.894747,0.957951,0.901186,0.928702,0.91499,0.91499,0.91499,0.907054,0.919083,0.911724
0.192731,0.934571,0.899898,0.93426,0.916757,0.957722,0.934767,0.946105,0.934571,0.934571,0.934571,0.92881,0.934514,0.931431
0.187912,0.935368,0.905716,0.929122,0.91727,0.954776,0.939289,0.946969,0.935368,0.935368,0.935368,0.930246,0.934205,0.932119
0.208515,0.933736,0.910918,0.917939,0.914415,0.94824,0.943652,0.94594,0.933736,0.933736,0.933736,0.929579,0.930795,0.930178
0.174048,0.935523,0.910631,0.92343,0.916986,0.951509,0.943115,0.947293,0.935523,0.935523,0.935523,0.93107,0.933272,0.932139
0.183655,0.934397,0.894908,0.940305,0.917045,0.961297,0.930688,0.945745,0.934397,0.934397,0.934397,0.928103,0.935497,0.931395
0.215478,0.936767,0.921176,0.914261,0.917705,0.946434,0.950893,0.948658,0.936767,0.936767,0.936767,0.933805,0.932577,0.933182
0.195153,0.938146,0.908886,0.933152,0.920859,0.957324,0.941281,0.949235,0.938146,0.938146,0.938146,0.933105,0.937216,0.935047
0.231521,0.921867,0.904854,0.891089,0.897919,0.932283,0.941186,0.936713,0.921867,0.921867,0.921867,0.918569,0.916137,0.917316
0.197501,0.936806,0.91227,0.925092,0.918636,0.952562,0.944158,0.948341,0.936806,0.936806,0.936806,0.932416,0.934625,0.933489
0.174098,0.938593,0.915422,0.926351,0.920854,0.953422,0.946277,0.949836,0.938593,0.938593,0.938593,0.934422,0.936314,0.935345
0.229235,0.929268,0.880231,0.945192,0.911555,0.963926,0.919273,0.94107,0.929268,0.929268,0.929268,0.922078,0.932232,0.926313
0.218428,0.930434,0.929787,0.886555,0.907656,0.93081,0.957976,0.944198,0.930434,0.930434,0.930434,0.930298,0.922266,0.925927
0.222383,0.934222,0.900277,0.932749,0.916225,0.956809,0.935146,0.945853,0.934222,0.934222,0.934222,0.928543,0.933948,0.931039
0.214966,0.938496,0.914699,0.926956,0.920787,0.953761,0.945739,0.949733,0.938496,0.938496,0.938496,0.93423,0.936347,0.93526
0.22792,0.93935,0.914803,0.929273,0.921981,0.95516,0.945676,0.950394,0.93935,0.93935,0.93935,0.934981,0.937474,0.936188
0.220833,0.935737,0.895784,0.943076,0.918822,0.963044,0.93113,0.946818,0.935737,0.935737,0.935737,0.929414,0.937103,0.93282
0.225029,0.935349,0.907915,0.926301,0.917016,0.953144,0.941028,0.947047,0.935349,0.935349,0.935349,0.930529,0.933664,0.932031
0.208471,0.938029,0.918513,0.921012,0.919761,0.950334,0.948711,0.949522,0.938029,0.938029,0.938029,0.934424,0.934861,0.934641
0.212412,0.936728,0.905048,0.933908,0.919251,0.957666,0.938498,0.947985,0.936728,0.936728,0.936728,0.931357,0.936203,0.933618
0.211316,0.937213,0.911178,0.927611,0.919321,0.954041,0.943241,0.94861,0.937213,0.937213,0.937213,0.93261,0.935426,0.933966
0.231405,0.934999,0.936063,0.892398,0.91371,0.93438,0.961739,0.947862,0.934999,0.934999,0.934999,0.935222,0.927069,0.930786
0.212158,0.936028,0.904564,0.932497,0.918318,0.956791,0.938245,0.947427,0.936028,0.936028,0.936028,0.930678,0.935371,0.932873
0.228102,0.935582,0.898799,0.938643,0.918289,0.960384,0.93366,0.946833,0.935582,0.935582,0.935582,0.929591,0.936151,0.932561
0.231555,0.931269,0.88465,0.94499,0.913825,0.963926,0.922656,0.94284,0.931269,0.931269,0.931269,0.924288,0.933823,0.928332
